Show_ID,age,weight
351,65+,10.172129803460582
368,65+,10.172129803460582
394,65+,10.172129803460582
440,65+,10.172129803460582
481,65+,10.172129803460582
1077,65+,10.172129803460582
1164,65+,10.172129803460582
1363,65+,10.172129803460582
1367,65+,10.172129803460582
1419,65+,10.172129803460582
477,65+,9.960564224719818
1047,65+,9.960564224719818
1123,65+,9.960564224719818
1424,65+,9.960564224719818
926,65+,9.748998645979052
929,65+,9.268963970432546
909,50-64,10.172129803460582
926,50-64,10.172129803460582
929,50-64,10.172129803460582
1077,50-64,10.172129803460582
1092,50-64,10.172129803460582
1123,50-64,10.172129803460582
1151,50-64,10.172129803460582
1395,50-64,10.172129803460582
1420,50-64,10.172129803460582
481,50-64,9.960564224719818
1280,50-64,9.960564224719818
1401,50-64,9.960564224719818
477,50-64,9.748998645979052
1371,50-64,9.748998645979052
587,50-64,9.537433067238286
872,50-64,9.537433067238286
1164,30-49,10.172129803460582
1416,30-49,10.172129803460582
357,30-49,9.960564224719818
480,30-49,9.960564224719818
578,30-49,9.960564224719818
854,30-49,9.960564224719818
1117,30-49,9.960564224719818
1299,30-49,9.960564224719818
1376,30-49,9.960564224719818
1410,30-49,9.960564224719818
1068,30-49,9.748998645979052
419,30-49,9.537433067238286
1311,30-49,9.537433067238286
117,30-49,9.325867488497522
670,30-49,9.325867488497522
585,30-49,9.094342321837466
446,18-29,10.172129803460582
473,18-29,9.960564224719818
886,18-29,9.960564224719818
956,18-29,9.960564224719818
1038,18-29,9.960564224719818
1197,18-29,9.960564224719818
1207,18-29,9.960564224719818
1430,18-29,9.960564224719818
1456,18-29,9.960564224719818
351,18-29,9.748998645979052
516,18-29,9.748998645979052
971,18-29,9.748998645979052
1036,18-29,9.748998645979052
1084,18-29,9.748998645979052
1106,18-29,9.748998645979052
1435,18-29,9.748998645979052
482,10-17,9.960564224719818
1212,10-17,9.960564224719818
1354,10-17,9.748998645979052
51,10-17,9.325867488497522
802,10-17,9.094342321837466
1458,10-17,9.094342321837466
247,10-17,8.919720673242384
384,10-17,8.919720673242384
686,10-17,8.919720673242384
277,10-17,8.745099024647304
455,10-17,8.745099024647304
554,10-17,8.745099024647304
679,10-17,8.745099024647304
1198,10-17,8.745099024647304
447,10-17,8.570477376052224
441,10-17,8.395855727457144
154,0-9,9.960564224719818
168,0-9,9.960564224719818
213,0-9,9.960564224719818
182,0-9,9.537433067238286
1105,0-9,9.537433067238286
216,0-9,9.325867488497522
145,0-9,9.114301909756756
218,0-9,9.114301909756756
1044,0-9,9.114301909756756
54,0-9,9.094342321837466
102,0-9,8.919720673242384
130,0-9,8.919720673242384
1009,0-9,8.919720673242384
114,0-9,8.395855727457144
164,0-9,8.188344969741253
134,0-9,7.905125177501581
