Show_ID,gender,weight
1164,Other,8.500101571479458
1416,Other,8.500101571479458
854,Other,8.290192219668949
886,Other,8.290192219668949
1299,Other,8.290192219668949
516,Other,8.080282867858443
1084,Other,8.080282867858443
1106,Other,8.080282867858443
1368,Other,8.080282867858443
805,Other,7.8928626481330255
419,Other,7.870373516047935
844,Other,7.870373516047935
1427,Other,7.870373516047935
442,Other,7.719370847696571
851,Other,7.719370847696571
1394,Other,7.719370847696571
368,Male,8.500101571479458
394,Male,8.500101571479458
440,Male,8.500101571479458
909,Male,8.500101571479458
923,Male,8.500101571479458
1077,Male,8.500101571479458
1123,Male,8.500101571479458
1133,Male,8.500101571479458
1164,Male,8.500101571479458
1395,Male,8.500101571479458
1419,Male,8.500101571479458
1460,Male,8.500101571479458
154,Male,8.290192219668949
168,Male,8.290192219668949
480,Male,8.290192219668949
481,Male,8.290192219668949
929,Female,8.500101571479458
1017,Female,8.500101571479458
1077,Female,8.500101571479458
1151,Female,8.500101571479458
1281,Female,8.500101571479458
1363,Female,8.500101571479458
1367,Female,8.500101571479458
213,Female,8.290192219668949
357,Female,8.290192219668949
473,Female,8.290192219668949
477,Female,8.290192219668949
1117,Female,8.290192219668949
1123,Female,8.290192219668949
1207,Female,8.290192219668949
1212,Female,8.290192219668949
1401,Female,8.290192219668949
